experiment_id,imputation,features,scaler,feature_engineering,model,RMSE,MAPE,R2,model_path,label
E042,interpolate,domain_itf,robust,lag,RF,1.5391850731893506,29.81002849188928,-1.8459660174925405,,"Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Lag Features (t-1, t-3, t-6)"
E042,interpolate,domain_itf,robust,lag,XGBoost,0.9597639238823777,14.960889145114429,-0.10656484020275503,,"Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Lag Features (t-1, t-3, t-6)"
E043,interpolate,domain_itf,robust,rolling,RF,0.9684970470506492,16.821331358728195,-0.06589630663438761,,"Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Rolling Mean & Std (3, 6)"
E043,interpolate,domain_itf,robust,rolling,XGBoost,1.0692316748246986,19.22679222449468,-0.299158045341386,,"Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Rolling Mean & Std (3, 6)"
E044,interpolate,domain_itf,robust,lag_rolling,RF,1.4909477407710756,29.447228866584602,-1.5260573024294426,,"Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Lag (1,3) + Rolling (6)"
E044,interpolate,domain_itf,robust,lag_rolling,XGBoost,1.123322786374506,19.28947465332453,-0.4339284869261224,,"Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Lag (1,3) + Rolling (6)"
E045,interpolate,domain_itf,robust,diff,RF,1.2700043481192527,21.710158325988495,-0.8328577967104445,,Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + First Difference
E045,interpolate,domain_itf,robust,diff,XGBoost,0.9824747990634046,16.117536871886813,-0.09688524434148738,,Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + First Difference
E046,interpolate,domain_itf,robust,interaction,RF,1.6104886485446985,31.036112959607888,-1.8096668242018463,,Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Fitur Interaksi Ekonomi
E046,interpolate,domain_itf,robust,interaction,XGBoost,1.197345504098686,20.598425674726784,-0.5530250574790374,,Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Fitur Interaksi Ekonomi
E047,interpolate,domain_itf,robust,calendar,RF,1.25163413836649,22.300459168505597,-0.6970486297353291,,"Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Fitur Kalender (Bulan, Kuartal)"
E047,interpolate,domain_itf,robust,calendar,XGBoost,1.127348515263064,18.620747045943748,-0.3767525252439645,,"Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Fitur Kalender (Bulan, Kuartal)"
E048,interpolate,domain_itf,robust,policy_reaction,RF,0.7208586551882608,12.722333376454845,0.3757647939254313,,Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi
E048,interpolate,domain_itf,robust,policy_reaction,XGBoost,1.1701245714488093,21.85218254484177,-0.6447966866906929,,Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi
E049,interpolate,corr_top6,standard,none,RF,1.9447213693211263,38.54747501035551,-3.0968895916525234,,Interpolasi Linear + Top-6 Korelasi Pearson + StandardScaler (Z-Score) + Tanpa Feature Engineering
E049,interpolate,corr_top6,standard,none,XGBoost,2.200241906858588,43.734743541545214,-4.24421334997613,,Interpolasi Linear + Top-6 Korelasi Pearson + StandardScaler (Z-Score) + Tanpa Feature Engineering
E050,interpolate,corr_top6,standard,lag,RF,1.8855244215656757,36.9769418898398,-3.270830619514247,,"Interpolasi Linear + Top-6 Korelasi Pearson + StandardScaler (Z-Score) + Lag Features (t-1, t-3, t-6)"
E050,interpolate,corr_top6,standard,lag,XGBoost,1.8343617083020192,33.82720017136997,-3.042201661077253,,"Interpolasi Linear + Top-6 Korelasi Pearson + StandardScaler (Z-Score) + Lag Features (t-1, t-3, t-6)"
E051,interpolate,corr_top6,standard,rolling,RF,1.1010019179605501,19.37175151351931,-0.3775091954186105,,"Interpolasi Linear + Top-6 Korelasi Pearson + StandardScaler (Z-Score) + Rolling Mean & Std (3, 6)"
E051,interpolate,corr_top6,standard,rolling,XGBoost,0.9961349582207502,18.264904978972716,-0.1275990945179828,,"Interpolasi Linear + Top-6 Korelasi Pearson + StandardScaler (Z-Score) + Rolling Mean & Std (3, 6)"
E052,interpolate,corr_top6,standard,lag_rolling,RF,1.7681902322333218,35.08169256636654,-2.5528455636865193,,"Interpolasi Linear + Top-6 Korelasi Pearson + StandardScaler (Z-Score) + Lag (1,3) + Rolling (6)"
E052,interpolate,corr_top6,standard,lag_rolling,XGBoost,1.4140498385230598,25.48446138547057,-1.2722064518397191,,"Interpolasi Linear + Top-6 Korelasi Pearson + StandardScaler (Z-Score) + Lag (1,3) + Rolling (6)"
E053,interpolate,corr_top6,standard,diff,RF,2.102059388504139,41.109961148959975,-4.0212092378342055,,Interpolasi Linear + Top-6 Korelasi Pearson + StandardScaler (Z-Score) + First Difference
E053,interpolate,corr_top6,standard,diff,XGBoost,2.247363360252185,44.080274287990115,-4.739379573937212,,Interpolasi Linear + Top-6 Korelasi Pearson + StandardScaler (Z-Score) + First Difference
E054,interpolate,corr_top6,standard,interaction,RF,2.3130624621220006,46.27851008241674,-4.79581091799907,,Interpolasi Linear + Top-6 Korelasi Pearson + StandardScaler (Z-Score) + Fitur Interaksi Ekonomi
E054,interpolate,corr_top6,standard,interaction,XGBoost,2.23555152201384,43.540231575401336,-4.4138828518113975,,Interpolasi Linear + Top-6 Korelasi Pearson + StandardScaler (Z-Score) + Fitur Interaksi Ekonomi
E055,interpolate,corr_top6,standard,calendar,RF,1.9487983828369708,38.64924854643462,-3.1140854564094695,,"Interpolasi Linear + Top-6 Korelasi Pearson + StandardScaler (Z-Score) + Fitur Kalender (Bulan, Kuartal)"
E055,interpolate,corr_top6,standard,calendar,XGBoost,2.303332817142669,46.11686545946663,-4.747154574436161,,"Interpolasi Linear + Top-6 Korelasi Pearson + StandardScaler (Z-Score) + Fitur Kalender (Bulan, Kuartal)"
E056,interpolate,corr_top6,standard,policy_reaction,RF,0.7212248428683475,11.070095768318836,0.37513042462125645,,Interpolasi Linear + Top-6 Korelasi Pearson + StandardScaler (Z-Score) + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi
E056,interpolate,corr_top6,standard,policy_reaction,XGBoost,1.0546724414368978,19.336097269519158,-0.33623616040970017,,Interpolasi Linear + Top-6 Korelasi Pearson + StandardScaler (Z-Score) + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi
E057,interpolate,corr_top6,minmax,none,RF,1.944573514159919,38.544311587305124,-3.096266650748551,,"Interpolasi Linear + Top-6 Korelasi Pearson + MinMaxScaler [0, 1] + Tanpa Feature Engineering"
E057,interpolate,corr_top6,minmax,none,XGBoost,2.200241906858588,43.734743541545214,-4.24421334997613,,"Interpolasi Linear + Top-6 Korelasi Pearson + MinMaxScaler [0, 1] + Tanpa Feature Engineering"
E058,interpolate,corr_top6,minmax,lag,RF,1.8854318562025536,36.97394053744274,-3.270411297145693,,"Interpolasi Linear + Top-6 Korelasi Pearson + MinMaxScaler [0, 1] + Lag Features (t-1, t-3, t-6)"
E058,interpolate,corr_top6,minmax,lag,XGBoost,1.8343617083020192,33.82720017136997,-3.042201661077253,,"Interpolasi Linear + Top-6 Korelasi Pearson + MinMaxScaler [0, 1] + Lag Features (t-1, t-3, t-6)"
E059,interpolate,corr_top6,minmax,rolling,RF,1.1004235247087861,19.371415464048386,-0.3760622719714857,,"Interpolasi Linear + Top-6 Korelasi Pearson + MinMaxScaler [0, 1] + Rolling Mean & Std (3, 6)"
E059,interpolate,corr_top6,minmax,rolling,XGBoost,0.9961349582207502,18.264904978972716,-0.1275990945179828,,"Interpolasi Linear + Top-6 Korelasi Pearson + MinMaxScaler [0, 1] + Rolling Mean & Std (3, 6)"
E060,interpolate,corr_top6,minmax,lag_rolling,RF,1.768249455301332,35.08217307603073,-2.5530835628953303,,"Interpolasi Linear + Top-6 Korelasi Pearson + MinMaxScaler [0, 1] + Lag (1,3) + Rolling (6)"
E060,interpolate,corr_top6,minmax,lag_rolling,XGBoost,1.4140498385230598,25.48446138547057,-1.2722064518397191,,"Interpolasi Linear + Top-6 Korelasi Pearson + MinMaxScaler [0, 1] + Lag (1,3) + Rolling (6)"
E061,interpolate,corr_top6,minmax,diff,RF,2.1002489795680126,41.0759418696417,-4.012563880305141,,"Interpolasi Linear + Top-6 Korelasi Pearson + MinMaxScaler [0, 1] + First Difference"
E061,interpolate,corr_top6,minmax,diff,XGBoost,2.247363360252185,44.080274287990115,-4.739379573937212,,"Interpolasi Linear + Top-6 Korelasi Pearson + MinMaxScaler [0, 1] + First Difference"
E062,interpolate,corr_top6,minmax,interaction,RF,2.3132127309869803,46.28161084156098,-4.79656399599214,,"Interpolasi Linear + Top-6 Korelasi Pearson + MinMaxScaler [0, 1] + Fitur Interaksi Ekonomi"
E062,interpolate,corr_top6,minmax,interaction,XGBoost,2.23555152201384,43.540231575401336,-4.4138828518113975,,"Interpolasi Linear + Top-6 Korelasi Pearson + MinMaxScaler [0, 1] + Fitur Interaksi Ekonomi"
E063,interpolate,corr_top6,minmax,calendar,RF,1.9488360085962693,38.650059850560844,-3.1142443205431958,,"Interpolasi Linear + Top-6 Korelasi Pearson + MinMaxScaler [0, 1] + Fitur Kalender (Bulan, Kuartal)"
E063,interpolate,corr_top6,minmax,calendar,XGBoost,2.303332817142669,46.11686545946663,-4.747154574436161,,"Interpolasi Linear + Top-6 Korelasi Pearson + MinMaxScaler [0, 1] + Fitur Kalender (Bulan, Kuartal)"
E064,interpolate,corr_top6,minmax,policy_reaction,RF,0.7208801055877675,11.098826556682432,0.37572764297029493,,"Interpolasi Linear + Top-6 Korelasi Pearson + MinMaxScaler [0, 1] + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi"
E064,interpolate,corr_top6,minmax,policy_reaction,XGBoost,1.0546724414368978,19.336097269519158,-0.33623616040970017,,"Interpolasi Linear + Top-6 Korelasi Pearson + MinMaxScaler [0, 1] + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi"
