experiment_id,avg_RMSE
E290,1.0561772486099086
E306,1.0561806674793073
E298,1.0564055111420694
E118,1.0569159482887507
E110,1.0569159482887507
E102,1.056915948288751
E119,1.0596211169024312
E111,1.0596273110554728
E103,1.059663458061363
E355,1.0630868226626706
E347,1.0632781437783532
E339,1.0634633373592202
E015,1.0685922640699794
E007,1.0686161729807793
E023,1.068673695044263
E077,1.0700716491372777
E365,1.0700716491372777
E269,1.0700716491372777
E093,1.0701069189971828
E285,1.0701069189971828
E381,1.0701069189971828
E277,1.0701076102497842
E373,1.0701076102497842
E085,1.0701076102497842
E303,1.0735356798926068
E311,1.0735605914301376
E295,1.0735708932684938
E271,1.0844295096494831
E079,1.0844295096494831
E367,1.0844295096494831
E087,1.084472186580156
E279,1.084472186580156
E375,1.084472186580156
E095,1.084479036874001
E287,1.084479036874001
E383,1.084479036874001
E214,1.102548686763813
E198,1.1025560962066079
E206,1.1025567005455326
E174,1.1060489787857652
E182,1.1060489787857652
E190,1.1060911504616713
E294,1.107387025100902
E302,1.1073872065202837
E310,1.1073872065202837
E006,1.1075934729059767
E014,1.1075935037393858
E022,1.1076005048149824
E237,1.1087368759742866
E229,1.1091047925276163
E221,1.1096521094905667
E270,1.1107020742547662
E278,1.1107020742547662
E286,1.1107020742547662
E366,1.122995347412215
E382,1.1229953474122152
E374,1.1229953474122152
E045,1.1262395735913286
E037,1.1267775156928665
E029,1.127094889256592
E086,1.1306261501930668
E078,1.1306261501930668
E094,1.1306261501930668
E333,1.186355114506808
E325,1.1868017816953516
E317,1.1869911306062528
E047,1.1894913268147769
E039,1.1894985243537726
E031,1.1896272804643746
E223,1.1920301507809041
E231,1.1922868788509233
E239,1.1928084879223881
E143,1.2002105450874714
E135,1.2003185725625372
E127,1.2005402520145778
E217,1.2122881786457709
E225,1.2122889425114218
E233,1.2125824956278572
E041,1.214155010316067
E025,1.2143471777004005
E033,1.214352673936085
E129,1.2213799356683956
E137,1.221452103411277
E121,1.2217941252319506
E234,1.249082078095702
E218,1.2492158688930837
E026,1.249278079522703
E226,1.2493896236340873
E034,1.2494162412808334
E042,1.2494744985358641
E335,1.254071832936459
E319,1.2541160439020809
E327,1.254258460117426
E321,1.25901853922741
E329,1.2590696405434998
E313,1.2595032717103964
E314,1.263443136294232
E322,1.2634772482891576
E330,1.2637130587629712
E236,1.2948226569632113
E228,1.2948571623304104
E220,1.2953665259470764
E044,1.3071352635727909
E028,1.307326992949833
E036,1.307341039670622
E332,1.3173690776127747
E316,1.3174497102366314
E324,1.3175905365554363
E142,1.3998347588480908
E134,1.3998347588480908
E126,1.3998347588480908
E046,1.4039170763216924
E030,1.404017144609508
E038,1.404017144609508
E230,1.4148090429780027
E222,1.4148418157617093
E238,1.4149603682248995
E318,1.4372156132660872
E326,1.4372156132660872
E334,1.437219019531909
E252,1.5565155247900075
E244,1.556590731951571
E260,1.5565955236586935
E052,1.5911200353781907
E340,1.591148682792963
E060,1.591149646912196
E068,1.5911727207632906
E348,1.5911901864433136
E356,1.5912099591329454
E242,1.8519297603514837
E250,1.8520477122973364
E258,1.8525320549062338
E066,1.8597003090609716
E058,1.8598967822522865
E050,1.8599430649338475
E338,1.8935355942889767
E346,1.8937055867664163
E354,1.8939577072857998
E167,2.0477890525256925
E151,2.0478506572429094
E159,2.0480317628062004
E255,2.0636703301629318
E247,2.0637391258950983
E263,2.06517457772696
E065,2.0716171965936487
E057,2.0724077105092533
E049,2.072481638089857
E153,2.1113902056190392
E161,2.1115945809116514
E145,2.112765318339627
E249,2.1246707749668823
E241,2.1247195446349716
E071,2.1253363089152715
E257,2.1257772740712877
E055,2.1260655999898197
E063,2.126084412869469
E353,2.151910336773005
E345,2.1520265354016503
E337,2.1531460854595226
E061,2.173806169910099
E069,2.1743452107638426
E053,2.174711374378162
E359,2.2189257834188965
E343,2.219559675399135
E351,2.219687929528532
E253,2.2407583639276396
E245,2.2416153941437065
E261,2.241855165173095
E054,2.2743069920679204
E070,2.274355628292188
E062,2.2743821265004103
E349,2.2961109356481684
E341,2.2968495631703076
E357,2.2969251757256894
E342,2.38463175424741
E358,2.3847157513369215
E350,2.3847189249658713
E150,2.393885065918811
E158,2.3941149737845677
E166,2.3942637977481804
E246,2.444132754353885
E254,2.444196846004056
E262,2.4443411543896167
