PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
B. Pertambangan dan Penggalian,0.58,-1.53,-2.51,-3.42,-3.42,-5.93,-2.37,1.44,0.86,-3.42,0.58,-3.59,-4.41,-6.03,-3.42
"1. Pertambangan Minyak, Gas dan Panas Bumi",-2.39,-1.63,-1.37,0.05,0.05,0.01,1.54,1.51,1.31,0.05,-2.39,-0.88,-0.84,4.43,0.05
2. Pertambangan Batubara dan Lignit,-0.08,-3.1,-3.58,-7.31,-7.31,-11.6,-7.67,-0.01,1.67,-7.31,-0.08,-6.17,-4.56,-17.03,-7.31
3. Pertambangan Bijih Logam,6.3,0.22,-9.01,-10.74,-10.74,-16.2,9.17,-7.77,-0.06,-10.74,6.3,-4.77,-23.63,-15.67,-10.74
4. Pertambangan dan Penggalian Lainnya,5.16,0.41,1.43,1.14,1.14,0.01,-8.39,10.4,-0.82,1.14,5.16,-4.31,3.41,0.32,1.14
C. Industri Pengolahan,4.07,4.14,4.29,4.33,4.33,-0.54,3.58,0.93,0.43,4.33,4.07,4.2,4.6,4.43,4.33
1. Industri Batubara dan Pengilangan Migas,-4.52,-4.01,-2.85,-1.13,-1.13,-1.03,0.69,3.43,1.12,-1.13,-4.52,-3.5,-0.52,4.22,-1.13
Industri Pengolahan Non Migas,5.26,5.24,5.25,5.05,5.05,-0.47,3.95,0.62,0.35,5.05,5.26,5.22,5.28,4.46,5.05
1. Industri Makanan dan Minuman,8.16,8.33,7.85,7.54,7.54,-0.96,9.12,-0.04,-1.3,7.54,8.16,8.48,6.94,6.62,7.54
2. Industri Pengolahan Tembakau,0.45,2.55,4.6,6.24,6.24,-2.95,6.11,4.38,3.32,6.24,0.45,4.61,8.63,11.07,6.24
3. Industri Tekstil dan Pakaian Jadi,-1.65,-3.94,-4.71,-4.79,-4.79,-2.24,-0.21,-1.98,-0.72,-4.79,-1.65,-6.13,-6.24,-5.06,-4.79
"4. Industri Kulit, Barang dari Kulit dan Alas Kaki",3.68,3.77,3.34,3.97,3.97,-3.34,4.16,-2.15,7.35,3.97,3.68,3.86,2.49,5.77,3.97
"5. Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",1.41,-0.39,-1.58,-1.63,-1.63,-1.76,-0.49,-3.03,3.6,-1.63,1.41,-2.13,-3.96,-1.78,-1.63
6. Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,-0.39,-1.92,-0.96,-0.16,-0.16,2.59,0.84,1.48,-2.51,-0.16,-0.39,-3.4,0.98,2.35,-0.16
"7. Industri Kimia, Farmasi dan Obat Tradisional",9.65,8.23,8.87,7.61,7.61,6.54,-3.16,2.22,-1.44,7.61,9.65,6.79,10.18,3.94,7.61
"8. Industri Karet, Barang dari Karet dan Plastik",-3.49,2.44,3.95,5.04,5.04,4.6,7.98,-1.6,-2.4,5.04,-3.49,8.62,7.04,8.48,5.04
9. Industri Barang Galian bukan Logam,5,7.05,6.89,6.03,6.03,-5.58,4.98,0.21,4.37,6.03,5,9.09,6.56,3.67,6.03
10. Industri Logam Dasar,9.14,8.28,7.03,6.21,6.21,-0.14,3.29,-1,1.72,6.21,9.14,7.47,4.61,3.87,6.21
"11. Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",8.22,8.87,7.97,7.83,7.83,-0.9,4.19,-0.13,4.19,7.83,8.22,9.52,6.25,7.43,7.83
12. Industri Mesin dan Perlengkapan,-2.83,0.61,5.31,7.58,7.58,-2.08,7.01,8.74,0.41,7.58,-2.83,4.04,14.86,14.41,7.58
13. Industri Alat Angkutan,5.05,2.88,3.31,2.4,2.4,-3.07,-2.27,4.27,1.06,2.4,5.05,0.75,4.16,-0.18,2.4
14. Industri Furnitur,5.05,6.17,5.8,5.17,5.17,1.94,5.53,-2.3,-1.74,5.17,5.05,7.25,5.08,3.27,5.17
15. Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,3.08,4.37,5.86,4.66,4.66,-0.32,4.21,0.68,-3.23,4.66,3.08,5.64,8.86,1.19,4.66
D. Pengadaan Listrik dan Gas,1.73,1.24,1.02,0.9,0.9,-8.3,4.43,-0.85,5.92,0.9,1.73,0.78,0.58,0.57,0.9
1. Ketenagalistrikan,3.79,3.03,2.61,2.29,2.29,-7.68,5.2,-1.21,5.7,2.29,3.79,2.31,1.8,1.41,2.29
2. Pengadaan Gas dan Produksi Es,-8.95,-8.37,-7.66,-6.76,-6.76,-11.84,-0.09,1.37,7.31,-6.76,-8.95,-7.78,-6.22,-4.18,-6.76
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",5.07,6.2,6.95,7.07,7.07,0.92,3.21,2.18,0.92,7.07,5.07,7.32,8.43,7.41,7.07
F. Konstruksi,6.03,5.68,6.08,6.36,6.36,-5.95,3.14,4.88,5.3,6.36,6.03,5.35,6.82,7.13,6.36
G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,3.78,2.64,2.23,2.54,2.54,-1.54,4.05,1.9,-0.9,2.54,3.78,1.57,1.45,3.46,2.54
"1. Perdagangan Mobil, Sepeda Motor dan Reparasinya",0.58,-1.41,-0.32,0.32,0.32,-0.37,-1.61,3.03,1.23,0.32,0.58,-3.35,1.89,2.25,0.32
"2. Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",4.59,3.64,2.85,3.07,3.07,-1.82,5.44,1.64,-1.39,3.07,4.59,2.76,1.35,3.75,3.07
H. Transportasi dan Pergudangan,6.26,6.14,6.42,6.71,6.71,-1.1,3.18,3.68,1.62,6.71,6.26,6.03,6.96,7.51,6.71
1. Angkutan Rel,7.21,4.09,4.48,4.45,4.45,-9.09,5.2,6.32,2.63,4.45,7.21,1.3,5.19,4.35,4.45
2. Angkutan Darat,7.25,6.97,7.03,6.8,6.8,0.1,1.2,4.06,0.68,6.8,7.25,6.68,7.16,6.13,6.8
3. Angkutan Laut,-2.75,-0.7,0.08,2.38,2.38,-3.69,6.35,2.9,3.76,2.38,-2.75,1.32,1.56,9.36,2.38
4. Angkutan Sungai Danau dan Penyeberangan,1.79,1.09,1.24,1.03,1.03,-6.21,0.61,6.79,-0.32,1.03,1.79,0.4,1.52,0.45,1.03
5. Angkutan Udara,11.22,10.01,10.29,10.37,10.37,-1.21,6.38,2.38,2.77,10.37,11.22,8.89,10.84,10.57,10.37
6. Pergudangan dan Jasa Penunjang Angkutan; Pos dan Kurir,4.02,4.47,5.22,6.38,6.38,-2.3,5.63,3.45,2.85,6.38,4.02,4.9,6.65,9.8,6.38
I. Penyediaan Akomodasi dan Makan Minum,3.31,3.51,3.82,4.31,4.31,0.19,1.78,1.61,2.03,4.31,3.31,3.71,4.45,5.73,4.31
1. Penyediaan Akomodasi,4.51,4.45,4.88,5.67,5.67,-2.62,4.57,2.24,3.68,5.67,4.51,4.39,5.7,7.95,5.67
2. Penyediaan Makan Minum,3.02,3.28,3.56,3.97,3.97,0.91,1.1,1.45,1.62,3.97,3.02,3.53,4.13,5.17,3.97
J. Informasi dan Komunikasi,9.66,9.45,9.86,9.7,9.7,2.25,2.32,3.2,1.18,9.7,9.66,9.25,10.65,9.24,9.7
K. Jasa Keuangan dan Asuransi,8.55,5.53,7.15,8.58,8.58,3.33,-1.83,7.08,3.83,8.58,8.55,2.61,10.34,12.77,8.58
1. Jasa Perantara Keuangan,9.23,4.49,7.22,9.57,9.57,4.27,-3.91,10.67,5.06,9.57,9.23,-0.02,12.63,16.49,9.57
2. Asuransi dan Dana Pensiun,7.23,6.91,6.68,6.6,6.6,1.49,1.54,1.47,1.71,6.6,7.23,6.59,6.23,6.36,6.6
3. Jasa Keuangan Lainnya,8.03,7.95,7.92,7.98,7.98,2.39,1.76,1.79,2,7.98,8.03,7.88,7.84,8.17,7.98
4. Jasa Penunjang Keuangan,6.19,5.83,5.27,4.74,4.74,1.57,0.83,0.39,0.33,4.74,6.19,5.47,4.2,3.16,4.74
L. Real Estate,4.54,4.43,4.3,4.11,4.11,0.48,1.08,1.21,0.73,4.11,4.54,4.31,4.07,3.54,4.11
"M,N. Jasa Perusahaan",7.36,7.5,7.54,7.69,7.69,2.24,1.78,2.15,1.73,7.69,7.36,7.64,7.63,8.13,7.69
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",4.73,5.51,4.03,4.63,4.63,-6.41,0.55,2.26,10.43,4.63,4.73,6.29,1.27,6.27,4.63
P. Jasa Pendidikan,4.91,8.26,8.14,7.33,7.33,-11.33,6.46,1.81,9.5,7.33,4.91,11.6,7.93,5.24,7.33
Q. Jasa Kesehatan dan Kegiatan Sosial,8.55,8.43,7.07,6.69,6.69,-5.24,2.68,1.18,7.31,6.69,8.55,8.32,4.51,5.65,6.69
"R,S,T,U. Jasa lainnya",7.98,8.03,8.06,8.08,8.08,1.82,2,2.11,1.99,8.08,7.98,8.07,8.11,8.15,8.08
A. NILAI TAMBAH BRUTO ATAS HARGA DASAR,4.54,4.35,4.19,4.17,4.17,-0.43,3.45,2.67,-1.56,4.17,4.54,4.18,3.88,4.1,4.17
B. PAJAK DIKURANG SUBSIDI ATAS PRODUK,16.85,22.26,27.72,32.55,32.55,10.61,14.04,24.46,-6.1,32.55,16.85,27.43,36.95,47.42,32.55
C. PRODUK DOMESTIK BRUTO,4.83,4.78,4.78,4.88,4.88,-0.16,3.74,3.31,-1.73,4.88,4.83,4.74,4.78,5.15,4.88
