PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
,Laju Pertumbuhan Kumulatif (c-to-c),,,,,Laju Pertumbuhan Triwulanan Berantai (q-to-q),,,,,Laju Pertumbuhan Triwulanan terhadap Triwulan yang Sama Tahun Sebelumnya (y-on-y),,,,
,2016,,,,,2016,,,,,2016,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
I. Penyediaan Akomodasi dan Makan Minum,5.73,5.44,5.29,5.17,5.17,0.19,1.23,1.46,1.86,5.17,5.73,5.16,5,4.82,5.17
1. Penyediaan Akomodasi,8.51,6.89,6.14,5.71,5.71,-2.12,1.53,1.61,3.47,5.71,8.51,5.35,4.7,4.48,5.71
2. Penyediaan Makan Minum,5.05,5.08,5.08,5.03,5.03,0.79,1.15,1.42,1.46,5.03,5.05,5.11,5.07,4.91,5.03
J. Informasi dan Komunikasi,7.58,8.46,8.62,8.88,8.88,0.7,3.96,2.84,1.82,8.88,7.58,9.31,8.93,9.62,8.88
K. Jasa Keuangan dan Asuransi,9.33,11.45,10.63,8.93,8.93,0.17,2.02,2.8,-0.81,8.93,9.33,13.62,9.08,4.21,8.93
1. Jasa Perantara Keuangan,11.18,13.97,12.48,9.82,9.82,-0.49,1.02,3.89,-1.75,9.82,11.18,16.88,9.73,2.61,9.82
2. Asuransi dan Dana Pensiun,4.9,6.8,6.96,6.58,6.58,0.09,5.2,0.14,0.04,6.58,4.9,8.68,7.25,5.49,6.58
3. Jasa Keuangan Lainnya,9.27,9.21,9.31,9.29,9.29,3.42,1.65,2.1,1.76,9.29,9.27,9.16,9.49,9.23,9.29
4. Jasa Penunjang Keuangan,1.58,2.76,3.76,4.76,4.76,0.02,3.15,2.17,2.19,4.76,1.58,3.92,5.76,7.72,4.76
L. Real Estate,5.25,5.2,4.91,4.69,4.69,2.14,0.97,0.45,0.41,4.69,5.25,5.15,4.36,4.03,4.69
"M,N. Jasa Perusahaan",8.14,7.85,7.55,7.36,7.36,2.25,1.24,1.56,1.62,7.36,8.14,7.57,6.95,6.83,7.36
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",4.62,4.53,4.29,3.2,3.2,-7.86,0.39,1.65,6.66,3.2,4.62,4.44,3.82,0.28,3.2
P. Jasa Pendidikan,5.33,5.24,4.11,3.84,3.84,-11.25,6.27,-1.29,10.76,3.84,5.33,5.15,1.95,3.13,3.84
Q. Jasa Kesehatan dan Kegiatan Sosial,6.65,5.92,5.48,5.16,5.16,-4.34,1.29,0.64,6.91,5.16,6.65,5.2,4.64,4.25,5.16
"R,S,T,U. Jasa lainnya",8.12,8.11,8.04,8.01,8.01,1.8,1.97,1.95,1.97,8.01,8.12,8.09,7.92,7.91,8.01
A. NILAI TAMBAH BRUTO ATAS HARGA DASAR,4.76,4.87,4.71,4.58,4.58,0.2,3.66,2.12,-1.79,4.58,4.76,4.97,4.41,4.18,4.58
B. PAJAK DIKURANG SUBSIDI ATAS PRODUK,11.65,12.49,16.23,19.06,19.06,-16.23,15.65,33.99,-2.47,19.06,11.65,13.22,21.89,26.6,19.06
C. PRODUK DOMESTIK BRUTO,4.94,5.08,5.06,5.03,5.03,-0.36,4.01,3.13,-1.81,5.03,4.94,5.21,5.03,4.94,5.03
