model,fitur,fitur_tampil,RMSE_test,Theil_U2,RMSE_change,U2_change,hit_change,hit_all,exact_hit,DM_stat,DM_p_value,delta_RMSE
LSTM,BI_Rate_Pct_lag1,BI-Rate t-1 (Persistensi),0.16888585342331475,1.351086827386518,0.18028574350874038,0.7211429740349615,0.6666666666666666,0.4166666666666667,0.4166666666666667,1.621391248935725,0.11390933681392856,0.006897251345763522
LSTM,BI_Rate_Pct_lag2,BI-Rate t-2,0.16274023492076026,1.301921879366082,0.18576508474256057,0.7430603389702423,0.5555555555555556,0.5833333333333334,0.5833333333333334,1.466808839050242,0.15135658071852065,0.0007516328432090325
LSTM,BI_Rate_Pct_lag3,BI-Rate t-3,0.16802506166953346,1.3442004933562677,0.17607452476782487,0.7042980990712995,0.5555555555555556,0.5277777777777778,0.5277777777777778,1.5618626116584295,0.1273181015861493,0.006036459591982235
LSTM,policy_regime,Arah Kebijakan Suku Bunga,0.16653121004321256,1.3322496803457005,0.17858293583653215,0.7143317433461286,0.5555555555555556,0.4722222222222222,0.4722222222222222,1.7757188751104844,0.08447519266795078,0.004542607965661333
LSTM,real_rate,Suku Bunga Riil,0.14742387620874808,1.1793910096699847,0.16847691728707517,0.6739076691483007,0.6666666666666666,0.6111111111111112,0.6111111111111112,1.0320674907059106,0.3091197587775476,-0.014564725868803141
LSTM,output_gap,Output Gap,0.1963478376823095,1.570782701458476,0.20370151678734671,0.8148060671493869,0.3333333333333333,0.6388888888888888,0.6111111111111112,1.5052534622240086,0.14123107419047987,0.03435923560475829
LSTM,infl_momentum_3,Momentum Inflasi (3 Bln),0.15282369350759492,1.2225895480607594,0.18841667972222412,0.7536667188888965,0.5555555555555556,0.6388888888888888,0.6388888888888888,1.2210340045917873,0.23023504924349414,-0.009164908569956304
LSTM,fx_pressure_3,Tekanan Kurs (3 Bln),0.13442878862040225,1.075430308963218,0.18584365663243976,0.743374626529759,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.47993618206412475,0.634258621994984,-0.027559813457148974
LSTM,ffr_change,Perubahan FFR,0.13945695873105424,1.115655669848434,0.18771224732889885,0.7508489893155954,0.5555555555555556,0.6944444444444444,0.6666666666666666,0.7020024410191659,0.4873200678711138,-0.022531643346496988
LSTM,fed_cycle,Siklus The Fed,0.16744158121450983,1.3395326497160787,0.1617852412939118,0.6471409651756472,0.6666666666666666,0.4444444444444444,0.4444444444444444,1.6125377423401595,0.11582698982470796,0.005452979136958608
XGBoost,(konfigurasi penuh),(konfigurasi penuh),0.2206925485654917,1.7655403885239336,0.24104613409042827,0.9641845363617131,0.6666666666666666,0.4166666666666667,0.3611111111111111,3.085184241261307,0.003959314195024266,0.0
XGBoost,Inflation_YoY_Pct,Inflasi YoY,0.19234310320666204,1.5387448256532963,0.21295310743034995,0.8518124297213998,0.6666666666666666,0.4444444444444444,0.4166666666666667,2.3762386045754886,0.023093443387180557,-0.02834944535882966
XGBoost,Inflation_Gap_Pct,Inflation Gap,0.19890326788990675,1.591226143119254,0.22237429785161372,0.8894971914064549,0.5555555555555556,0.3888888888888889,0.3611111111111111,2.730018553663018,0.009846490110764217,-0.021789280675584943
XGBoost,GDP_Growth_YoY_Pct,Pertumbuhan PDB,0.192070335406305,1.53656268325044,0.22539758148523495,0.9015903259409398,0.5555555555555556,0.4722222222222222,0.4722222222222222,2.3537281029698716,0.024330341566089597,-0.0286222131591867
XGBoost,USD_IDR_Monthly_Avg,Kurs USD/IDR,0.20227444274687092,1.6181955419749674,0.22934354062910695,0.9173741625164278,0.5555555555555556,0.4166666666666667,0.4166666666666667,2.4724794548442723,0.018422979848983,-0.018418105818620772
XGBoost,M2_Triliun_Rp,M2 (Uang Beredar),0.18672865154663723,1.4938292123730978,0.2299456419848537,0.9197825679394148,0.4444444444444444,0.4722222222222222,0.4722222222222222,2.553258732822803,0.015186965229021743,-0.033963897018854466
XGBoost,Credit_Growth_YoY_Pct,Pertumbuhan Kredit,0.20376294086919566,1.6301035269535653,0.22887828381340622,0.9155131352536249,0.2222222222222222,0.5,0.4722222222222222,3.162723011418177,0.0032241954820817487,-0.016929607696296034
XGBoost,IHSG_End_of_Month,IHSG,0.196009036326533,1.568072290612264,0.21637771078067133,0.8655108431226853,0.5555555555555556,0.4722222222222222,0.4444444444444444,2.3708283662170166,0.02338541080305845,-0.024683512238958705
XGBoost,Foreign_Reserves_Miliar_USD,Cadangan Devisa,0.19690164561539103,1.5752131649231282,0.22443673414464788,0.8977469365785915,0.5555555555555556,0.4444444444444444,0.4166666666666667,2.2269693738252037,0.03247959329102579,-0.023790902950100667
XGBoost,Federal_Funds_Rate_Pct,Federal Funds Rate,0.20125126130453272,1.6100100904362618,0.2218898420388177,0.8875593681552708,0.5555555555555556,0.4444444444444444,0.4166666666666667,2.3435684416908282,0.02490796195821976,-0.019441287260958978
XGBoost,Oil_Price_Brent_USD_per_Bbl,Harga Minyak Brent,0.1991452248048777,1.5931617984390216,0.2235715817498212,0.8942863269992848,0.6666666666666666,0.5,0.4722222222222222,2.2380096213828717,0.03168325924671023,-0.021547323760613996
XGBoost,Gold_Price_USD_per_Oz,Harga Emas,0.19416961229063306,1.5533568983250645,0.22272024344559738,0.8908809737823895,0.5555555555555556,0.4166666666666667,0.3888888888888889,2.255871478485667,0.030431820275896637,-0.026522936274858633
XGBoost,VIX_Volatility_Index,VIX,0.1965516507118668,1.5724132056949345,0.21566228874630627,0.8626491549852251,0.5555555555555556,0.4444444444444444,0.4166666666666667,2.307991410359221,0.027029552686063107,-0.024140897853624887
XGBoost,BI_Rate_Pct_lag1,BI-Rate t-1 (Persistensi),0.25632812526226884,2.0506250020981507,0.2847677814876314,1.1390711259505255,0.4444444444444444,0.2777777777777778,0.25,4.25650619037508,0.00014772919387828765,0.03563557669677714
XGBoost,BI_Rate_Pct_lag2,BI-Rate t-2,0.21197432045395026,1.695794563631602,0.22130146809465004,0.8852058723786002,0.6666666666666666,0.4722222222222222,0.4444444444444444,2.79153546961064,0.008440428898998098,-0.008718228111541437
XGBoost,BI_Rate_Pct_lag3,BI-Rate t-3,0.20751454823937443,1.6601163859149954,0.2171380362061814,0.8685521448247256,0.5555555555555556,0.4166666666666667,0.3888888888888889,2.940536916183792,0.005773183944822957,-0.013178000326117267
XGBoost,policy_regime,Arah Kebijakan Suku Bunga,0.2175532306063323,1.7404258448506584,0.22733643870039422,0.9093457548015769,0.5555555555555556,0.4166666666666667,0.3888888888888889,3.1404874786101895,0.003420555540523784,-0.0031393179591593934
XGBoost,real_rate,Suku Bunga Riil,0.2215144659787343,1.7721157278298745,0.2346434503681746,0.9385738014726984,0.5555555555555556,0.3888888888888889,0.3611111111111111,3.2251687999782637,0.00272842922217853,0.0008219174132426121
XGBoost,output_gap,Output Gap,0.21702561546411198,1.7362049237128958,0.2299723530435433,0.9198894121741732,0.5555555555555556,0.3888888888888889,0.3611111111111111,3.1266731021084553,0.003548210913958627,-0.0036669331013797213
XGBoost,infl_momentum_3,Momentum Inflasi (3 Bln),0.20701347401570067,1.6561077921256053,0.21829465009711896,0.8731786003884758,0.6666666666666666,0.3888888888888889,0.3611111111111111,2.859840925469532,0.007099732374943768,-0.013679074549791032
XGBoost,fx_pressure_3,Tekanan Kurs (3 Bln),0.2214096077271626,1.7712768618173007,0.23343705594975148,0.9337482237990059,0.5555555555555556,0.3611111111111111,0.3333333333333333,3.125867693341949,0.0035557912622470322,0.000717059161670891
XGBoost,ffr_change,Perubahan FFR,0.2204368623072127,1.7634948984577017,0.227350842724637,0.909403370898548,0.5555555555555556,0.3333333333333333,0.3055555555555556,3.172962069951147,0.0031374209604455583,-0.0002556862582789865
XGBoost,fed_cycle,Siklus The Fed,0.22310590656488122,1.7848472525190497,0.23220447278527934,0.9288178911411173,0.5555555555555556,0.3888888888888889,0.3611111111111111,3.14763421720295,0.0033562373603661655,0.0024133579993895204
