model,fitur,fitur_tampil,RMSE_test,Theil_U2,RMSE_change,U2_change,hit_change,hit_all,exact_hit,DM_stat,DM_p_value,delta_RMSE,sigma,sigma_delta,ambang,rasio_sigma,terbaca
BiLSTM,BI_Rate_Pct_lag1,BI-Rate t-1 (Persistensi),0.1377689674687824,1.1021517397502592,0.1617549204450404,0.6470196817801618,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5923216286423731,0.5574427779608992,-0.0085004440982006,0.0093725334891094,0.013254763974094539,0.026509527948189077,0.6413123700138375,False
BiLSTM,BI_Rate_Pct_lag2,BI-Rate t-2,0.1396785046002483,1.1174280368019864,0.1596356248787151,0.6385424995148606,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6622188422033142,0.5121681406386562,-0.0065909069667347,0.0093725334891094,0.013254763974094539,0.026509527948189077,0.4972481576900307,False
BiLSTM,BI_Rate_Pct_lag3,BI-Rate t-3,0.1466869154170768,1.1734953233366143,0.1590510527034274,0.6362042108137096,0.6666666666666666,0.6388888888888888,0.6388888888888888,0.9092399775906324,0.3694424424151021,0.0004175038500937,0.0093725334891094,0.013254763974094539,0.026509527948189077,0.031498399436586014,False
BiLSTM,policy_regime,Arah Kebijakan Suku Bunga,0.1321967075723248,1.057573660578599,0.1652326838740116,0.6609307354960466,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.3738908585257194,0.7107409954964328,-0.0140727039946581,0.0093725334891094,0.013254763974094539,0.026509527948189077,1.0617091350824628,False
BiLSTM,real_rate,Suku Bunga Riil,0.1394505372638412,1.1156042981107297,0.1571463253353039,0.6285853013412156,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6437962610247755,0.5239041301646008,-0.0068188743031418,0.0093725334891094,0.013254763974094539,0.026509527948189077,0.5144470559014697,False
BiLSTM,output_gap,Output Gap,0.1504442826415008,1.2035542611320067,0.1648479854185784,0.6593919416743136,0.6666666666666666,0.6388888888888888,0.6388888888888888,1.053209397855507,0.2994620543270967,0.0041748710745178,0.0093725334891094,0.013254763974094539,0.026509527948189077,0.31497136295125877,False
BiLSTM,infl_momentum_3,Momentum Inflasi (3 Bln),0.1805952617193569,1.444762093754855,0.1725380234052931,0.6901520936211724,0.7777777777777778,0.6111111111111112,0.6111111111111112,1.8274003114012232,0.0761761333903212,0.0343258501523738,0.0093725334891094,0.013254763974094539,0.026509527948189077,2.589699086265221,True
BiLSTM,fx_pressure_3,Tekanan Kurs (3 Bln),0.1706156248252919,1.3649249986023355,0.1606362715384941,0.6425450861539764,0.6666666666666666,0.6944444444444444,0.6944444444444444,1.383327544202983,0.1753253308103239,0.0243462132583089,0.0093725334891094,0.013254763974094539,0.026509527948189077,1.8367896483024355,False
BiLSTM,ffr_change,Perubahan FFR,0.186247722677196,1.489981781417568,0.1781257638963642,0.712503055585457,0.7777777777777778,0.6111111111111112,0.6111111111111112,1.9131800959995504,0.0639336566628478,0.0399783111102129,0.0093725334891094,0.013254763974094539,0.026509527948189077,3.0161465861140617,True
BiLSTM,fed_cycle,Siklus The Fed,0.1597574399487521,1.278059519590017,0.1602713439850666,0.6410853759402666,0.6666666666666666,0.6388888888888888,0.6388888888888888,1.3255509209136158,0.1935760840990159,0.0134880283817691,0.0093725334891094,0.013254763974094539,0.026509527948189077,1.0175985334880695,False
LSTM,Inflation_YoY_Pct,Inflasi YoY,0.1546229061574879,1.2369832492599036,0.149956471304484,0.5998258852179361,0.6666666666666666,0.6111111111111112,0.6111111111111112,1.1020938204257222,0.2779419987156262,-0.0073656959200632,0.01477736531769,0.020898350448419,0.041796700896838,0.35245345981938153,False
LSTM,Inflation_Gap_Pct,Inflation Gap,0.1655784321183821,1.3246274569470573,0.1609874256889242,0.6439497027556971,0.6666666666666666,0.6111111111111112,0.6111111111111112,1.398189219630756,0.170854210154177,0.0035898300408309,0.01477736531769,0.020898350448419,0.041796700896838,0.17177576046928994,False
LSTM,GDP_Growth_YoY_Pct,Pertumbuhan PDB,0.1572548791228787,1.2580390329830302,0.1781842821579769,0.7127371286319076,0.6666666666666666,0.4444444444444444,0.4444444444444444,1.3717211716225182,0.1788800186475261,-0.0047337229546724,0.01477736531769,0.020898350448419,0.041796700896838,0.22651179892671938,False
LSTM,Federal_Funds_Rate_Pct,Federal Funds Rate,0.2804928765216605,2.2439430121732844,0.2735202960352165,1.094081184140866,0.6666666666666666,0.5,0.4166666666666667,3.785425013524554,0.0005779741817151,0.1185042744441093,0.01477736531769,0.020898350448419,0.041796700896838,5.670508528249624,True
LSTM,USD_IDR_Monthly_Avg,Kurs USD/IDR,0.191389570509787,1.5311165640782962,0.214808061688024,0.859232246752096,0.5555555555555556,0.3611111111111111,0.3333333333333333,2.6033820708826445,0.0134505363152088,0.0294009684322358,0.01477736531769,0.020898350448419,0.041796700896838,1.4068559384532686,False
LSTM,M2_Triliun_Rp,M2 (Uang Beredar),0.1687661929409384,1.3501295435275076,0.189322008045344,0.757288032181376,0.5555555555555556,0.4444444444444444,0.4444444444444444,1.8671933763107544,0.0702683182266872,0.0067775908633872,0.01477736531769,0.020898350448419,0.041796700896838,0.32431224082089877,False
LSTM,Credit_Growth_YoY_Pct,Pertumbuhan Kredit,0.1362000949303263,1.0896007594426107,0.1766240183847509,0.7064960735390037,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5407242927137864,0.5921225254707569,-0.0257885071472248,0.01477736531769,0.020898350448419,0.041796700896838,1.2339972578637541,False
LSTM,BI_Rate_Pct_lag1,BI-Rate t-1 (Persistensi),0.1688858534233147,1.351086827386518,0.1802857435087403,0.7211429740349615,0.6666666666666666,0.4166666666666667,0.4166666666666667,1.621391248935725,0.1139093368139285,0.0068972513457635,0.01477736531769,0.020898350448419,0.041796700896838,0.3300380746694431,False
LSTM,BI_Rate_Pct_lag2,BI-Rate t-2,0.1627402349207602,1.301921879366082,0.1857650847425605,0.7430603389702423,0.5555555555555556,0.5833333333333334,0.5833333333333334,1.466808839050242,0.1513565807185206,0.000751632843209,0.01477736531769,0.020898350448419,0.041796700896838,0.03596613259329578,False
LSTM,BI_Rate_Pct_lag3,BI-Rate t-3,0.1680250616695334,1.3442004933562677,0.1760745247678248,0.7042980990712995,0.5555555555555556,0.5277777777777778,0.5277777777777778,1.5618626116584295,0.1273181015861493,0.0060364595919822,0.01477736531769,0.020898350448419,0.041796700896838,0.288848615438874,False
LSTM,policy_regime,Arah Kebijakan Suku Bunga,0.1665312100432125,1.3322496803457005,0.1785829358365321,0.7143317433461286,0.5555555555555556,0.4722222222222222,0.4722222222222222,1.7757188751104844,0.0844751926679507,0.0045426079656613,0.01477736531769,0.020898350448419,0.041796700896838,0.2173668193034325,False
LSTM,real_rate,Suku Bunga Riil,0.147423876208748,1.179391009669985,0.1684769172870751,0.6739076691483007,0.6666666666666666,0.6111111111111112,0.6111111111111112,1.0320674907059106,0.3091197587775476,-0.0145647258688031,0.01477736531769,0.020898350448419,0.041796700896838,0.6969318418097897,False
LSTM,output_gap,Output Gap,0.1963478376823095,1.570782701458476,0.2037015167873467,0.8148060671493869,0.3333333333333333,0.6388888888888888,0.6111111111111112,1.5052534622240086,0.1412310741904798,0.0343592356047582,0.01477736531769,0.020898350448419,0.041796700896838,1.6441123278874643,False
LSTM,infl_momentum_3,Momentum Inflasi (3 Bln),0.1528236935075949,1.2225895480607594,0.1884166797222241,0.7536667188888965,0.5555555555555556,0.6388888888888888,0.6388888888888888,1.2210340045917871,0.2302350492434941,-0.0091649085699563,0.01477736531769,0.020898350448419,0.041796700896838,0.43854698448937357,False
LSTM,fx_pressure_3,Tekanan Kurs (3 Bln),0.1344287886204022,1.075430308963218,0.1858436566324397,0.743374626529759,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.4799361820641247,0.634258621994984,-0.0275598134571489,0.01477736531769,0.020898350448419,0.041796700896838,1.3187554455635926,False
LSTM,ffr_change,Perubahan FFR,0.1394569587310542,1.115655669848434,0.1877122473288988,0.7508489893155954,0.5555555555555556,0.6944444444444444,0.6666666666666666,0.7020024410191659,0.4873200678711138,-0.0225316433464969,0.01477736531769,0.020898350448419,0.041796700896838,1.0781541539419186,False
LSTM,fed_cycle,Siklus The Fed,0.1674415812145098,1.3395326497160789,0.1617852412939118,0.6471409651756472,0.6666666666666666,0.4444444444444444,0.4444444444444444,1.6125377423401597,0.1158269898247079,0.0054529791369586,0.01477736531769,0.020898350448419,0.041796700896838,0.2609286867122629,False
XGBoost,Inflation_YoY_Pct,Inflasi YoY,0.192343103206662,1.5387448256532965,0.2129531074303499,0.8518124297213998,0.6666666666666666,0.4444444444444444,0.4166666666666667,2.3762386045754886,0.0230934433871805,-0.0283494453588296,0.0,0.0,0.0,inf,True
XGBoost,Inflation_Gap_Pct,Inflation Gap,0.1989032678899067,1.591226143119254,0.2223742978516137,0.8894971914064549,0.5555555555555556,0.3888888888888889,0.3611111111111111,2.730018553663018,0.0098464901107642,-0.0217892806755849,0.0,0.0,0.0,inf,True
XGBoost,GDP_Growth_YoY_Pct,Pertumbuhan PDB,0.192070335406305,1.53656268325044,0.2253975814852349,0.9015903259409398,0.5555555555555556,0.4722222222222222,0.4722222222222222,2.353728102969872,0.0243303415660895,-0.0286222131591867,0.0,0.0,0.0,inf,True
XGBoost,USD_IDR_Monthly_Avg,Kurs USD/IDR,0.2022744427468709,1.6181955419749674,0.2293435406291069,0.9173741625164278,0.5555555555555556,0.4166666666666667,0.4166666666666667,2.4724794548442723,0.018422979848983,-0.0184181058186207,0.0,0.0,0.0,inf,True
